Country,Country_Code,Year,Value,Indicator
India,IND,2025,,current_account_balance
India,IND,2024,-32015418428.3173,current_account_balance
India,IND,2023,-31955497930.2044,current_account_balance
India,IND,2022,-79050941951.3239,current_account_balance
India,IND,2021,-33422359357.9397,current_account_balance
India,IND,2020,32730048588.2079,current_account_balance
India,IND,2019,-29762864650.3281,current_account_balance
India,IND,2018,-65599439052.6676,current_account_balance
India,IND,2017,-38167659223.511,current_account_balance
India,IND,2016,-12113787707.3688,current_account_balance
India,IND,2015,-22456838009.6208,current_account_balance
India,IND,2014,-27314281992.5893,current_account_balance
India,IND,2013,-49122670387.7035,current_account_balance
India,IND,2012,-91471245845.723,current_account_balance
India,IND,2011,-62517637221.5214,current_account_balance
India,IND,2010,-54515877624.366,current_account_balance
India,IND,2009,-26186435956.9107,current_account_balance
India,IND,2008,-30971987180.9349,current_account_balance
India,IND,2007,-8075694483.59493,current_account_balance
India,IND,2006,-9299060317.46279,current_account_balance
India,IND,2005,-10283543307.9807,current_account_balance
India,IND,2004,780195721.518435,current_account_balance
India,IND,2003,8772510263.57571,current_account_balance
India,IND,2002,7059496037.43387,current_account_balance
India,IND,2001,1410181566.42622,current_account_balance
India,IND,2000,-4601248652.10513,current_account_balance
India,IND,1999,-3228022816.39828,current_account_balance
India,IND,1998,-6903105373.49658,current_account_balance
India,IND,1997,-2965195307.24208,current_account_balance
India,IND,1996,-5956139581.8065,current_account_balance
India,IND,1995,-5563227578.4628,current_account_balance
India,IND,1994,-1676281517.88667,current_account_balance
India,IND,1993,-1875802280.34537,current_account_balance
India,IND,1992,-4485223626.3325,current_account_balance
India,IND,1991,-4291734332.0752,current_account_balance
India,IND,1990,-7035654412.26463,current_account_balance
India,IND,1989,-6812769370.55401,current_account_balance
India,IND,1988,-7143232480.28174,current_account_balance
India,IND,1987,-5171168794.2052,current_account_balance
India,IND,1986,-4567699250.98166,current_account_balance
India,IND,1985,-4140583148.21128,current_account_balance
India,IND,1984,-2311069805.85649,current_account_balance
India,IND,1983,-1936941637.20105,current_account_balance
India,IND,1982,-2523543845.55579,current_account_balance
India,IND,1981,-2698332267.06569,current_account_balance
India,IND,1980,-1785125731.42725,current_account_balance
India,IND,1979,50336977.9440678,current_account_balance
India,IND,1978,692377898.595274,current_account_balance
India,IND,1977,2119244326.78419,current_account_balance
India,IND,1976,1578867398.86207,current_account_balance
India,IND,1975,-147516804.401437,current_account_balance
India,IND,1974,,current_account_balance
India,IND,1973,,current_account_balance
India,IND,1972,,current_account_balance
India,IND,1971,,current_account_balance
India,IND,1970,,current_account_balance
India,IND,1969,,current_account_balance
India,IND,1968,,current_account_balance
India,IND,1967,,current_account_balance
India,IND,1966,,current_account_balance
India,IND,1965,,current_account_balance
India,IND,1964,,current_account_balance
India,IND,1963,,current_account_balance
India,IND,1962,,current_account_balance
India,IND,1961,,current_account_balance
India,IND,1960,,current_account_balance
