Country,Country_Code,Year,Value,Indicator
India,IND,2025,,literacy_rate
India,IND,2024,78.1625330351403,literacy_rate
India,IND,2023,81.6999969482422,literacy_rate
India,IND,2022,76.3199996948242,literacy_rate
India,IND,2021,76.0596617430205,literacy_rate
India,IND,2020,75.5270629470344,literacy_rate
India,IND,2019,74.8938629973395,literacy_rate
India,IND,2018,73.6883524760717,literacy_rate
India,IND,2017,,literacy_rate
India,IND,2016,,literacy_rate
India,IND,2015,,literacy_rate
India,IND,2014,,literacy_rate
India,IND,2013,,literacy_rate
India,IND,2012,69.8279300354369,literacy_rate
India,IND,2011,69.3000030517578,literacy_rate
India,IND,2010,68.325817300837,literacy_rate
India,IND,2009,,literacy_rate
India,IND,2008,,literacy_rate
India,IND,2007,,literacy_rate
India,IND,2006,62.75,literacy_rate
India,IND,2005,,literacy_rate
India,IND,2004,,literacy_rate
India,IND,2003,,literacy_rate
India,IND,2002,,literacy_rate
India,IND,2001,61.0099983215332,literacy_rate
India,IND,2000,,literacy_rate
India,IND,1999,,literacy_rate
India,IND,1998,,literacy_rate
India,IND,1997,,literacy_rate
India,IND,1996,,literacy_rate
India,IND,1995,,literacy_rate
India,IND,1994,,literacy_rate
India,IND,1993,,literacy_rate
India,IND,1992,,literacy_rate
India,IND,1991,48.2200012207031,literacy_rate
India,IND,1990,,literacy_rate
India,IND,1989,,literacy_rate
India,IND,1988,,literacy_rate
India,IND,1987,,literacy_rate
India,IND,1986,,literacy_rate
India,IND,1985,,literacy_rate
India,IND,1984,,literacy_rate
India,IND,1983,,literacy_rate
India,IND,1982,,literacy_rate
India,IND,1981,40.7599983215332,literacy_rate
India,IND,1980,,literacy_rate
India,IND,1979,,literacy_rate
India,IND,1978,,literacy_rate
India,IND,1977,,literacy_rate
India,IND,1976,,literacy_rate
India,IND,1975,,literacy_rate
India,IND,1974,,literacy_rate
India,IND,1973,,literacy_rate
India,IND,1972,,literacy_rate
India,IND,1971,,literacy_rate
India,IND,1970,,literacy_rate
India,IND,1969,,literacy_rate
India,IND,1968,,literacy_rate
India,IND,1967,,literacy_rate
India,IND,1966,,literacy_rate
India,IND,1965,,literacy_rate
India,IND,1964,,literacy_rate
India,IND,1963,,literacy_rate
India,IND,1962,,literacy_rate
India,IND,1961,,literacy_rate
India,IND,1960,,literacy_rate
