Country,Country_Code,Year,Value,Indicator
India,IND,2025,,mobile_subscriptions
India,IND,2024,79.3526921826412,mobile_subscriptions
India,IND,2023,80.5631998772888,mobile_subscriptions
India,IND,2022,80.1818007717416,mobile_subscriptions
India,IND,2021,81.603974311212,mobile_subscriptions
India,IND,2020,82.2540479927426,mobile_subscriptions
India,IND,2019,82.898144918237,mobile_subscriptions
India,IND,2018,85.5500756367908,mobile_subscriptions
India,IND,2017,85.9703537817688,mobile_subscriptions
India,IND,2016,83.917838213735,mobile_subscriptions
India,IND,2015,75.379332347226,mobile_subscriptions
India,IND,2014,71.9366825449914,mobile_subscriptions
India,IND,2013,68.3966708179098,mobile_subscriptions
India,IND,2012,67.6263517922249,mobile_subscriptions
India,IND,2011,70.8725652125021,mobile_subscriptions
India,IND,2010,60.4906435106584,mobile_subscriptions
India,IND,2009,42.8461358054675,mobile_subscriptions
India,IND,2008,28.7177007907217,mobile_subscriptions
India,IND,2007,19.620786501083,mobile_subscriptions
India,IND,2006,14.1574719620028,mobile_subscriptions
India,IND,2005,7.80651670797836,mobile_subscriptions
India,IND,2004,4.59686532886976,mobile_subscriptions
India,IND,2003,3.01664660813064,mobile_subscriptions
India,IND,2002,1.18440192230983,mobile_subscriptions
India,IND,2001,0.606736120789472,mobile_subscriptions
India,IND,2000,0.338124410074474,mobile_subscriptions
India,IND,1999,0.181096675,mobile_subscriptions
India,IND,1998,0.11703148,mobile_subscriptions
India,IND,1997,0.08797845,mobile_subscriptions
India,IND,1996,0.033354344,mobile_subscriptions
India,IND,1995,0.007952054,mobile_subscriptions
India,IND,1994,0.0,mobile_subscriptions
India,IND,1993,0.0,mobile_subscriptions
India,IND,1992,0.0,mobile_subscriptions
India,IND,1991,0.0,mobile_subscriptions
India,IND,1990,0.0,mobile_subscriptions
India,IND,1989,0.0,mobile_subscriptions
India,IND,1988,0.0,mobile_subscriptions
India,IND,1987,0.0,mobile_subscriptions
India,IND,1986,0.0,mobile_subscriptions
India,IND,1985,0.0,mobile_subscriptions
India,IND,1984,0.0,mobile_subscriptions
India,IND,1983,0.0,mobile_subscriptions
India,IND,1982,0.0,mobile_subscriptions
India,IND,1981,0.0,mobile_subscriptions
India,IND,1980,0.0,mobile_subscriptions
India,IND,1979,0.0,mobile_subscriptions
India,IND,1978,0.0,mobile_subscriptions
India,IND,1977,0.0,mobile_subscriptions
India,IND,1976,0.0,mobile_subscriptions
India,IND,1975,0.0,mobile_subscriptions
India,IND,1974,,mobile_subscriptions
India,IND,1973,,mobile_subscriptions
India,IND,1972,,mobile_subscriptions
India,IND,1971,,mobile_subscriptions
India,IND,1970,0.0,mobile_subscriptions
India,IND,1969,,mobile_subscriptions
India,IND,1968,,mobile_subscriptions
India,IND,1967,,mobile_subscriptions
India,IND,1966,,mobile_subscriptions
India,IND,1965,0.0,mobile_subscriptions
India,IND,1964,,mobile_subscriptions
India,IND,1963,,mobile_subscriptions
India,IND,1962,,mobile_subscriptions
India,IND,1961,,mobile_subscriptions
India,IND,1960,0.0,mobile_subscriptions
