Country,Country_Code,Year,Value,Indicator
India,IND,2025,,secure_servers
India,IND,2024,1212.44166069372,secure_servers
India,IND,2023,966.082590066802,secure_servers
India,IND,2022,729.692060044831,secure_servers
India,IND,2021,528.190455501333,secure_servers
India,IND,2020,472.187112968085,secure_servers
India,IND,2019,382.862055209059,secure_servers
India,IND,2018,184.79636635197,secure_servers
India,IND,2017,121.20038474398,secure_servers
India,IND,2016,37.7418916475687,secure_servers
India,IND,2015,11.5306607845422,secure_servers
India,IND,2014,8.33741535327806,secure_servers
India,IND,2013,6.08104687623525,secure_servers
India,IND,2012,4.46086943243043,secure_servers
India,IND,2011,2.25336486642335,secure_servers
India,IND,2010,1.65744314967584,secure_servers
India,IND,2009,,secure_servers
India,IND,2008,,secure_servers
India,IND,2007,,secure_servers
India,IND,2006,,secure_servers
India,IND,2005,,secure_servers
India,IND,2004,,secure_servers
India,IND,2003,,secure_servers
India,IND,2002,,secure_servers
India,IND,2001,,secure_servers
India,IND,2000,,secure_servers
India,IND,1999,,secure_servers
India,IND,1998,,secure_servers
India,IND,1997,,secure_servers
India,IND,1996,,secure_servers
India,IND,1995,,secure_servers
India,IND,1994,,secure_servers
India,IND,1993,,secure_servers
India,IND,1992,,secure_servers
India,IND,1991,,secure_servers
India,IND,1990,,secure_servers
India,IND,1989,,secure_servers
India,IND,1988,,secure_servers
India,IND,1987,,secure_servers
India,IND,1986,,secure_servers
India,IND,1985,,secure_servers
India,IND,1984,,secure_servers
India,IND,1983,,secure_servers
India,IND,1982,,secure_servers
India,IND,1981,,secure_servers
India,IND,1980,,secure_servers
India,IND,1979,,secure_servers
India,IND,1978,,secure_servers
India,IND,1977,,secure_servers
India,IND,1976,,secure_servers
India,IND,1975,,secure_servers
India,IND,1974,,secure_servers
India,IND,1973,,secure_servers
India,IND,1972,,secure_servers
India,IND,1971,,secure_servers
India,IND,1970,,secure_servers
India,IND,1969,,secure_servers
India,IND,1968,,secure_servers
India,IND,1967,,secure_servers
India,IND,1966,,secure_servers
India,IND,1965,,secure_servers
India,IND,1964,,secure_servers
India,IND,1963,,secure_servers
India,IND,1962,,secure_servers
India,IND,1961,,secure_servers
India,IND,1960,,secure_servers
