Country,Country_Code,Year,Value,Indicator
India,IND,2025,,forex_reserves
India,IND,2024,643042560625.541,forex_reserves
India,IND,2023,627792750126.715,forex_reserves
India,IND,2022,567298153917.14,forex_reserves
India,IND,2021,638484779930.836,forex_reserves
India,IND,2020,590227359928.896,forex_reserves
India,IND,2019,463469902152.507,forex_reserves
India,IND,2018,399167159226.682,forex_reserves
India,IND,2017,412613792019.924,forex_reserves
India,IND,2016,361694321972.036,forex_reserves
India,IND,2015,353319061013.224,forex_reserves
India,IND,2014,325081035127.891,forex_reserves
India,IND,2013,298092478740.581,forex_reserves
India,IND,2012,300425517446.546,forex_reserves
India,IND,2011,298739463090.872,forex_reserves
India,IND,2010,300480168786.346,forex_reserves
India,IND,2009,284682887897.586,forex_reserves
India,IND,2008,257422725614.879,forex_reserves
India,IND,2007,276578100117.408,forex_reserves
India,IND,2006,178049790065.97,forex_reserves
India,IND,2005,137824828256.285,forex_reserves
India,IND,2004,131631143125.845,forex_reserves
India,IND,2003,103737208055.967,forex_reserves
India,IND,2002,71607865093.6969,forex_reserves
India,IND,2001,49050841138.7213,forex_reserves
India,IND,2000,41059061574.6632,forex_reserves
India,IND,1999,36005295926.4425,forex_reserves
India,IND,1998,30646563663.4809,forex_reserves
India,IND,1997,28385372945.8609,forex_reserves
India,IND,1996,24889364657.4122,forex_reserves
India,IND,1995,22864636916.1009,forex_reserves
India,IND,1994,24220928468.8194,forex_reserves
India,IND,1993,14674627089.9414,forex_reserves
India,IND,1992,9538786025.16566,forex_reserves
India,IND,1991,7615987475.11472,forex_reserves
India,IND,1990,5637446363.83185,forex_reserves
India,IND,1989,8048455918.16026,forex_reserves
India,IND,1988,9185839446.54077,forex_reserves
India,IND,1987,11511740598.8136,forex_reserves
India,IND,1986,10480102587.5579,forex_reserves
India,IND,1985,9493102974.01812,forex_reserves
India,IND,1984,8535944481.20133,forex_reserves
India,IND,1983,8215732398.97451,forex_reserves
India,IND,1982,8241561692.94602,forex_reserves
India,IND,1981,8108837891.29932,forex_reserves
India,IND,1980,12009788667.4367,forex_reserves
India,IND,1979,11815414018.5725,forex_reserves
India,IND,1978,8316115827.72231,forex_reserves
India,IND,1977,6085439869.41109,forex_reserves
India,IND,1976,3728750637.4451,forex_reserves
India,IND,1975,2064427967.54988,forex_reserves
India,IND,1974,2324650346.59874,forex_reserves
India,IND,1973,1629325093.4044,forex_reserves
India,IND,1972,1367601418.5857,forex_reserves
India,IND,1971,1245821898.02245,forex_reserves
India,IND,1970,1023173271.49678,forex_reserves
India,IND,1969,927764119.793592,forex_reserves
India,IND,1968,730352744.867941,forex_reserves
India,IND,1967,663764119.793592,forex_reserves
India,IND,1966,609694584.532287,forex_reserves
India,IND,1965,600850886.234668,forex_reserves
India,IND,1964,499145125.789702,forex_reserves
India,IND,1963,607862500.361696,forex_reserves
India,IND,1962,512791844.004694,forex_reserves
India,IND,1961,666357094.860707,forex_reserves
India,IND,1960,674536630.92578,forex_reserves
