Country,Country_Code,Year,Value,Indicator
India,IND,2025,,renewable_energy
India,IND,2024,,renewable_energy
India,IND,2023,,renewable_energy
India,IND,2022,,renewable_energy
India,IND,2021,34.9,renewable_energy
India,IND,2020,36.1,renewable_energy
India,IND,2019,33.5,renewable_energy
India,IND,2018,32.9,renewable_energy
India,IND,2017,32.5,renewable_energy
India,IND,2016,33.0,renewable_energy
India,IND,2015,33.4,renewable_energy
India,IND,2014,33.9,renewable_energy
India,IND,2013,34.9,renewable_energy
India,IND,2012,34.8,renewable_energy
India,IND,2011,35.0,renewable_energy
India,IND,2010,36.2,renewable_energy
India,IND,2009,37.4,renewable_energy
India,IND,2008,39.4,renewable_energy
India,IND,2007,41.5,renewable_energy
India,IND,2006,43.2,renewable_energy
India,IND,2005,44.2,renewable_energy
India,IND,2004,44.9,renewable_energy
India,IND,2003,45.6,renewable_energy
India,IND,2002,45.8,renewable_energy
India,IND,2001,47.1,renewable_energy
India,IND,2000,46.9,renewable_energy
India,IND,1999,47.1,renewable_energy
India,IND,1998,48.0,renewable_energy
India,IND,1997,47.9,renewable_energy
India,IND,1996,49.1,renewable_energy
India,IND,1995,49.5,renewable_energy
India,IND,1994,50.5,renewable_energy
India,IND,1993,51.5,renewable_energy
India,IND,1992,51.5,renewable_energy
India,IND,1991,52.0,renewable_energy
India,IND,1990,53.0,renewable_energy
India,IND,1989,,renewable_energy
India,IND,1988,,renewable_energy
India,IND,1987,,renewable_energy
India,IND,1986,,renewable_energy
India,IND,1985,,renewable_energy
India,IND,1984,,renewable_energy
India,IND,1983,,renewable_energy
India,IND,1982,,renewable_energy
India,IND,1981,,renewable_energy
India,IND,1980,,renewable_energy
India,IND,1979,,renewable_energy
India,IND,1978,,renewable_energy
India,IND,1977,,renewable_energy
India,IND,1976,,renewable_energy
India,IND,1975,,renewable_energy
India,IND,1974,,renewable_energy
India,IND,1973,,renewable_energy
India,IND,1972,,renewable_energy
India,IND,1971,,renewable_energy
India,IND,1970,,renewable_energy
India,IND,1969,,renewable_energy
India,IND,1968,,renewable_energy
India,IND,1967,,renewable_energy
India,IND,1966,,renewable_energy
India,IND,1965,,renewable_energy
India,IND,1964,,renewable_energy
India,IND,1963,,renewable_energy
India,IND,1962,,renewable_energy
India,IND,1961,,renewable_energy
India,IND,1960,,renewable_energy
