Country,Country_Code,Year,Armed_Forces_Personnel,Indicator
India,IND,1985,1260000.0,armed_forces_personnel
India,IND,1989,1260000.0,armed_forces_personnel
India,IND,1990,1260000.0,armed_forces_personnel
India,IND,1991,1270000.0,armed_forces_personnel
India,IND,1992,1270000.0,armed_forces_personnel
India,IND,1993,1270000.0,armed_forces_personnel
India,IND,1994,1270000.0,armed_forces_personnel
India,IND,1995,2149500.0,armed_forces_personnel
India,IND,1996,2223000.0,armed_forces_personnel
India,IND,1997,2233000.0,armed_forces_personnel
India,IND,1998,2265000.0,armed_forces_personnel
India,IND,1999,2263000.0,armed_forces_personnel
India,IND,2000,2372000.0,armed_forces_personnel
India,IND,2001,2352700.0,armed_forces_personnel
India,IND,2002,2387700.0,armed_forces_personnel
India,IND,2003,2414700.0,armed_forces_personnel
India,IND,2004,2617000.0,armed_forces_personnel
India,IND,2005,3047000.0,armed_forces_personnel
India,IND,2006,2589000.0,armed_forces_personnel
India,IND,2007,2576000.0,armed_forces_personnel
India,IND,2008,2582000.0,armed_forces_personnel
India,IND,2009,2625586.0,armed_forces_personnel
India,IND,2010,2625586.0,armed_forces_personnel
India,IND,2011,2647150.0,armed_forces_personnel
India,IND,2012,2728700.0,armed_forces_personnel
India,IND,2013,2749700.0,armed_forces_personnel
India,IND,2014,2749700.0,armed_forces_personnel
India,IND,2015,2798800.0,armed_forces_personnel
India,IND,2016,2981050.0,armed_forces_personnel
India,IND,2017,3031000.0,armed_forces_personnel
India,IND,2018,3026500.0,armed_forces_personnel
India,IND,2019,3045000.0,armed_forces_personnel
India,IND,2020,3068000.0,armed_forces_personnel
