Country,Country_Code,Year,Value,Indicator
India,IND,2025,,high_tech_exports
India,IND,2024,54140883629.0,high_tech_exports
India,IND,2023,40942449667.0,high_tech_exports
India,IND,2022,35784973166.0,high_tech_exports
India,IND,2021,27447578528.0,high_tech_exports
India,IND,2020,21583797567.0,high_tech_exports
India,IND,2019,23471089532.0,high_tech_exports
India,IND,2018,20197216794.0,high_tech_exports
India,IND,2017,15104651310.0,high_tech_exports
India,IND,2016,14266747536.0,high_tech_exports
India,IND,2015,14588767825.0,high_tech_exports
India,IND,2014,18334404544.0,high_tech_exports
India,IND,2013,17945576995.0,high_tech_exports
India,IND,2012,13881886778.0,high_tech_exports
India,IND,2011,14508694707.0,high_tech_exports
India,IND,2010,10668887032.0,high_tech_exports
India,IND,2009,11219528624.0,high_tech_exports
India,IND,2008,,high_tech_exports
India,IND,2007,,high_tech_exports
India,IND,2006,,high_tech_exports
India,IND,2005,,high_tech_exports
India,IND,2004,,high_tech_exports
India,IND,2003,,high_tech_exports
India,IND,2002,,high_tech_exports
India,IND,2001,,high_tech_exports
India,IND,2000,,high_tech_exports
India,IND,1999,,high_tech_exports
India,IND,1998,,high_tech_exports
India,IND,1997,,high_tech_exports
India,IND,1996,,high_tech_exports
India,IND,1995,,high_tech_exports
India,IND,1994,,high_tech_exports
India,IND,1993,,high_tech_exports
India,IND,1992,,high_tech_exports
India,IND,1991,,high_tech_exports
India,IND,1990,,high_tech_exports
India,IND,1989,,high_tech_exports
India,IND,1988,,high_tech_exports
India,IND,1987,,high_tech_exports
India,IND,1986,,high_tech_exports
India,IND,1985,,high_tech_exports
India,IND,1984,,high_tech_exports
India,IND,1983,,high_tech_exports
India,IND,1982,,high_tech_exports
India,IND,1981,,high_tech_exports
India,IND,1980,,high_tech_exports
India,IND,1979,,high_tech_exports
India,IND,1978,,high_tech_exports
India,IND,1977,,high_tech_exports
India,IND,1976,,high_tech_exports
India,IND,1975,,high_tech_exports
India,IND,1974,,high_tech_exports
India,IND,1973,,high_tech_exports
India,IND,1972,,high_tech_exports
India,IND,1971,,high_tech_exports
India,IND,1970,,high_tech_exports
India,IND,1969,,high_tech_exports
India,IND,1968,,high_tech_exports
India,IND,1967,,high_tech_exports
India,IND,1966,,high_tech_exports
India,IND,1965,,high_tech_exports
India,IND,1964,,high_tech_exports
India,IND,1963,,high_tech_exports
India,IND,1962,,high_tech_exports
India,IND,1961,,high_tech_exports
India,IND,1960,,high_tech_exports
