Country,Country_Code,Year,Value,Indicator
India,IND,2025,4.219,unemployment
India,IND,2024,4.173,unemployment
India,IND,2023,4.172,unemployment
India,IND,2022,4.822,unemployment
India,IND,2021,6.38,unemployment
India,IND,2020,7.859,unemployment
India,IND,2019,6.51,unemployment
India,IND,2018,7.652,unemployment
India,IND,2017,7.626,unemployment
India,IND,2016,7.611,unemployment
India,IND,2015,7.629,unemployment
India,IND,2014,7.656,unemployment
India,IND,2013,7.678,unemployment
India,IND,2012,7.645,unemployment
India,IND,2011,7.609,unemployment
India,IND,2010,7.631,unemployment
India,IND,2009,7.636,unemployment
India,IND,2008,7.629,unemployment
India,IND,2007,7.562,unemployment
India,IND,2006,7.553,unemployment
India,IND,2005,7.551,unemployment
India,IND,2004,7.598,unemployment
India,IND,2003,7.633,unemployment
India,IND,2002,7.681,unemployment
India,IND,2001,7.611,unemployment
India,IND,2000,7.589,unemployment
India,IND,1999,7.583,unemployment
India,IND,1998,7.596,unemployment
India,IND,1997,7.574,unemployment
India,IND,1996,7.537,unemployment
India,IND,1995,7.57,unemployment
India,IND,1994,7.593,unemployment
India,IND,1993,7.662,unemployment
India,IND,1992,7.649,unemployment
India,IND,1991,7.641,unemployment
India,IND,1990,,unemployment
India,IND,1989,,unemployment
India,IND,1988,,unemployment
India,IND,1987,,unemployment
India,IND,1986,,unemployment
India,IND,1985,,unemployment
India,IND,1984,,unemployment
India,IND,1983,,unemployment
India,IND,1982,,unemployment
India,IND,1981,,unemployment
India,IND,1980,,unemployment
India,IND,1979,,unemployment
India,IND,1978,,unemployment
India,IND,1977,,unemployment
India,IND,1976,,unemployment
India,IND,1975,,unemployment
India,IND,1974,,unemployment
India,IND,1973,,unemployment
India,IND,1972,,unemployment
India,IND,1971,,unemployment
India,IND,1970,,unemployment
India,IND,1969,,unemployment
India,IND,1968,,unemployment
India,IND,1967,,unemployment
India,IND,1966,,unemployment
India,IND,1965,,unemployment
India,IND,1964,,unemployment
India,IND,1963,,unemployment
India,IND,1962,,unemployment
India,IND,1961,,unemployment
India,IND,1960,,unemployment
