Country,Country_Code,Year,Imports,Indicator
India,IND,1960,2530502530.50253,imports
India,IND,1961,2337302337.30234,imports
India,IND,1962,2543102543.10254,imports
India,IND,1963,2860202860.20286,imports
India,IND,1964,3210903210.90321,imports
India,IND,1965,3103803103.8031,imports
India,IND,1966,3041036962.37036,imports
India,IND,1967,2981333333.33333,imports
India,IND,1968,2624000000.0,imports
India,IND,1969,2356000000.0,imports
India,IND,1970,2421333333.33333,imports
India,IND,1971,2695673511.20478,imports
India,IND,1972,2650561669.41144,imports
India,IND,1973,4039284329.37006,imports
India,IND,1974,5992067751.11516,imports
India,IND,1975,6545472951.44551,imports
India,IND,1976,6280792834.3023,imports
India,IND,1977,7611052224.17439,imports
India,IND,1978,9045733047.41521,imports
India,IND,1979,12498452242.3912,imports
India,IND,1980,17226125073.3751,imports
India,IND,1981,16584605960.2223,imports
India,IND,1982,16343526468.9622,imports
India,IND,1983,17140048793.1369,imports
India,IND,1984,16391245674.9413,imports
India,IND,1985,17776627208.1764,imports
India,IND,1986,17486411449.5757,imports
India,IND,1987,19477194741.1034,imports
India,IND,1988,22111443193.3815,imports
India,IND,1989,24133353522.4812,imports
India,IND,1990,27132072318.021,imports
India,IND,1991,22941358805.152,imports
India,IND,1992,27639649994.19,imports
India,IND,1993,27419354118.7633,imports
India,IND,1994,33349501147.7089,imports
India,IND,1995,43318425767.7707,imports
India,IND,1996,45357266003.2021,imports
India,IND,1997,49607467421.0891,imports
India,IND,1998,53431564328.4224,imports
India,IND,1999,61314704757.0345,imports
India,IND,2000,65124245375.0531,imports
India,IND,2001,65218276482.1322,imports
India,IND,2002,78498759285.7313,imports
India,IND,2003,95071869378.5573,imports
India,IND,2004,139310848797.436,imports
India,IND,2005,183736617243.328,imports
India,IND,2006,229955027127.372,imports
India,IND,2007,302803952552.5,imports
India,IND,2008,350926955799.106,imports
India,IND,2009,347177967968.316,imports
India,IND,2010,449974370198.802,imports
India,IND,2011,566667744819.908,imports
India,IND,2012,571306554042.386,imports
India,IND,2013,527555307105.956,imports
India,IND,2014,529239428328.665,imports
India,IND,2015,465097595426.184,imports
India,IND,2016,480169055768.282,imports
India,IND,2017,582018012521.568,imports
India,IND,2018,640300806738.542,imports
India,IND,2019,602315056052.526,imports
India,IND,2020,510244747372.174,imports
India,IND,2021,760902891806.013,imports
India,IND,2022,897550749081.828,imports
India,IND,2023,856651130547.122,imports
India,IND,2024,918333719557.771,imports
