Country,Country_Code,Year,Life_Expectancy,Indicator
India,IND,1960,45.61,life_expectancy
India,IND,1961,45.824,life_expectancy
India,IND,1962,46.133,life_expectancy
India,IND,1963,46.458,life_expectancy
India,IND,1964,46.742,life_expectancy
India,IND,1965,45.558,life_expectancy
India,IND,1966,45.884,life_expectancy
India,IND,1967,46.184,life_expectancy
India,IND,1968,47.925,life_expectancy
India,IND,1969,48.26,life_expectancy
India,IND,1970,48.585,life_expectancy
India,IND,1971,48.902,life_expectancy
India,IND,1972,49.213,life_expectancy
India,IND,1973,49.642,life_expectancy
India,IND,1974,50.259,life_expectancy
India,IND,1975,50.761,life_expectancy
India,IND,1976,51.302,life_expectancy
India,IND,1977,51.822,life_expectancy
India,IND,1978,52.42,life_expectancy
India,IND,1979,53.014,life_expectancy
India,IND,1980,53.593,life_expectancy
India,IND,1981,54.173,life_expectancy
India,IND,1982,54.735,life_expectancy
India,IND,1983,55.283,life_expectancy
India,IND,1984,55.813,life_expectancy
India,IND,1985,56.324,life_expectancy
India,IND,1986,56.819,life_expectancy
India,IND,1987,57.291,life_expectancy
India,IND,1988,57.744,life_expectancy
India,IND,1989,58.196,life_expectancy
India,IND,1990,58.618,life_expectancy
India,IND,1991,59.032,life_expectancy
India,IND,1992,59.445,life_expectancy
India,IND,1993,59.823,life_expectancy
India,IND,1994,60.237,life_expectancy
India,IND,1995,60.63,life_expectancy
India,IND,1996,61.027,life_expectancy
India,IND,1997,61.439,life_expectancy
India,IND,1998,61.852,life_expectancy
India,IND,1999,62.284,life_expectancy
India,IND,2000,62.749,life_expectancy
India,IND,2001,63.158,life_expectancy
India,IND,2002,63.649,life_expectancy
India,IND,2003,64.086,life_expectancy
India,IND,2004,64.484,life_expectancy
India,IND,2005,64.939,life_expectancy
India,IND,2006,65.373,life_expectancy
India,IND,2007,65.803,life_expectancy
India,IND,2008,66.247,life_expectancy
India,IND,2009,66.7,life_expectancy
India,IND,2010,67.162,life_expectancy
India,IND,2011,67.623,life_expectancy
India,IND,2012,68.076,life_expectancy
India,IND,2013,68.499,life_expectancy
India,IND,2014,68.932,life_expectancy
India,IND,2015,69.326,life_expectancy
India,IND,2016,69.709,life_expectancy
India,IND,2017,70.068,life_expectancy
India,IND,2018,70.415,life_expectancy
India,IND,2019,70.746,life_expectancy
India,IND,2020,70.156,life_expectancy
India,IND,2021,67.282,life_expectancy
India,IND,2022,71.698,life_expectancy
India,IND,2023,72.003,life_expectancy
India,IND,2024,72.235,life_expectancy
