Country,Country_Code,Year,Renewable_Energy,Indicator
India,IND,1990,53.0,renewable_energy
India,IND,1991,52.0,renewable_energy
India,IND,1992,51.5,renewable_energy
India,IND,1993,51.5,renewable_energy
India,IND,1994,50.5,renewable_energy
India,IND,1995,49.5,renewable_energy
India,IND,1996,49.1,renewable_energy
India,IND,1997,47.9,renewable_energy
India,IND,1998,48.0,renewable_energy
India,IND,1999,47.1,renewable_energy
India,IND,2000,46.9,renewable_energy
India,IND,2001,47.1,renewable_energy
India,IND,2002,45.8,renewable_energy
India,IND,2003,45.6,renewable_energy
India,IND,2004,44.9,renewable_energy
India,IND,2005,44.2,renewable_energy
India,IND,2006,43.2,renewable_energy
India,IND,2007,41.5,renewable_energy
India,IND,2008,39.4,renewable_energy
India,IND,2009,37.4,renewable_energy
India,IND,2010,36.2,renewable_energy
India,IND,2011,35.0,renewable_energy
India,IND,2012,34.8,renewable_energy
India,IND,2013,34.9,renewable_energy
India,IND,2014,33.9,renewable_energy
India,IND,2015,33.4,renewable_energy
India,IND,2016,33.0,renewable_energy
India,IND,2017,32.5,renewable_energy
India,IND,2018,32.9,renewable_energy
India,IND,2019,33.5,renewable_energy
India,IND,2020,36.1,renewable_energy
India,IND,2021,34.9,renewable_energy
