Country,Country_Code,Year,Current_Account_Balance,FDI,Forex_Reserves,GDP,GDP_Per_Capita,Inflation,Interest_Rate,Unemployment
India,IND,1960,,,674536630.92578,37029883876.1839,84.9328084793106,1.77987784677382,,
India,IND,1961,,,666357094.860707,39232435784.0358,87.8538613470205,1.69521293914433,,
India,IND,1962,,,512791844.004694,42161481858.0819,92.1999583629516,3.63221497106987,,
India,IND,1963,,,607862500.361696,48421923459.1235,103.435021262932,2.94616135685229,,
India,IND,1964,,,499145125.789702,56480289940.9899,117.856430772855,13.3552611508153,,
India,IND,1965,,,600850886.234668,59556105229.0052,121.50831902883,9.47475859170699,,
India,IND,1966,,,609694584.532287,45581230504.071,91.0276950517841,10.8018483489342,,
India,IND,1967,,,663764119.793592,50134942204.0,97.9951481214155,13.062202477797,,
India,IND,1968,,,730352744.867941,53085455870.6667,101.556802521195,3.23741242627502,,
India,IND,1969,,,927764119.793592,58447995017.3333,109.477664384288,-0.584136610466349,,
India,IND,1970,,45460000.0,1023173271.49678,62422483054.6667,114.35532002008,5.09226161997552,,
India,IND,1971,,47659999.9,1245821898.02245,67351404351.833,120.680595539912,3.07993868406537,,
India,IND,1972,,17789999.9,1367601418.5857,71464700666.9869,125.270705961882,6.44209746158243,,
India,IND,1973,,37909999.9,1629325093.4044,85517673172.5513,146.568492582405,16.9408159791736,,
India,IND,1974,,56969999.9,2324650346.59874,99526597933.6331,166.699661755332,28.598734077509,,
India,IND,1975,-147516804.401437,-10326246.7051639,2064427967.54988,98473832017.3242,161.086694022079,5.74843029767437,,
India,IND,1976,1578867398.86207,-7706430.54257424,3728750637.4451,102716451979.68,164.119999587322,-7.63394763392882,,
India,IND,1977,2119244326.78419,-36060000.0,6085439869.41109,121486641441.309,189.585568552477,8.30747009171166,,
India,IND,1978,692377898.595274,18090000.0,8316115827.72231,137302319828.995,209.389063573463,2.5230487569518,10.7746313302481,
India,IND,1979,50336977.9440678,48570000.0,11815414018.5725,152995442497.709,227.958179873426,6.27568336762335,-1.06114574577495,
India,IND,1980,-1785125731.42725,79159999.9,12009788667.4367,186328579302.068,271.080945953678,11.3460734795095,4.47650826090093,
India,IND,1981,-2698332267.06569,91920000.0,8108837891.29932,193491368445.573,274.964330768528,13.112546897642,5.11823674143201,
India,IND,1982,-2523543845.55579,72079999.9,8241561692.94602,200715624830.902,278.65038258267,7.89074279377487,7.77470724439598,
India,IND,1983,-1936941637.20105,5639999.9,8215732398.97451,218262146413.158,295.999773299382,11.8680812986734,7.32098668508481,
India,IND,1984,-2311069805.85649,19239999.9,8535944481.20133,212157645177.652,281.049867840717,8.3189071186008,7.94709992039818,
India,IND,1985,-4140583148.21128,106090000.0,9493102974.01812,232511554840.372,300.928258576378,5.55642423236554,8.68167358478664,
India,IND,1986,-4567699250.98166,117730000.0,10480102587.5579,248985994040.59,314.897116402542,8.72972072702581,9.09322414508824,
India,IND,1987,-5171168794.2052,212319999.9,11511740598.8136,279033584092.223,344.941028293075,8.80112581251833,6.56018009415452,
India,IND,1988,-7143232480.28174,91250000.0,9185839446.54077,296589670895.932,358.484539641693,9.38347186185335,7.63863299594509,
India,IND,1989,-6812769370.55401,252099999.9,8048455918.16026,296042052944.66,349.915155021864,7.07428002942301,7.43584324824212,
India,IND,1990,-7035654412.26463,236690000.0,5637446363.83185,320979026420.035,371.085936203765,8.9712325027325,5.26952699827423,
India,IND,1991,-4291734332.0752,73537638.388533,7615987475.11472,270105341879.226,305.574055928592,13.8702461773683,3.62471659575062,7.641
